id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1.0972951778771378e+18,Beautiful house by Frenchman St,7423684,Anne,,Seventh Ward,29.97087813,-90.05829691,Private room,111.0,4,0,,,3,90,0,"20RSTR-12346, 20-OSTR-12346"
1.0974677172486193e+18,New Modern Construction near Bourbon & Superdome,468556876,Aujenee,,Seventh Ward,29.97313322,-90.06125642,Entire home/apt,259.0,2,0,,,4,350,0,"23-CSTR-12076, 22-OSTR-95166"
1.0980237807896804e+18,"""Charming Retreat in the Heart of New Orleans""",136061325,Amanda,,West Riverside,29.91742028,-90.10769651,Entire home/apt,101.0,2,0,,,3,163,0,"21-RSTR-82499, 21-OSTR-94821"
1.0981654226467602e+18,Shared Uptown Getaway,166314054,Kristy,,East Riverside,29.91829,-90.09801,Private room,58.0,30,0,,,2,269,0,
1.0983940682129556e+18,Private Entrance - near cafès,16876788,Joe,,St. Claude,29.96631982,-90.03544396,Private room,52.0,1,0,,,4,14,0,"19STR-10988, 20-OSTR-18621"
1.098487234780228e+18,New Modern Construction near Bourbon & Superdome,468556876,Aujenee,,Seventh Ward,29.97307553,-90.0591798,Entire home/apt,259.0,2,1,2024-03-03,1.0,4,333,1,"23-CSTR-07745, 22-OSTR-68116"
1.098543871428688e+18,Uptown Cottage w/parking,26176940,Johanna,,Leonidas,29.94998637,-90.12960999,Entire home/apt,168.0,30,0,,,2,58,0,
1.09867102170894e+18,College roommates/Travel Nurses are welcome,321226087,Benjamin,,St. Roch,29.98281598,-90.0483774,Private room,24.0,30,0,,,2,219,0,
1.0826869587782324e+18,Bayou St John Basement Apartment,507654099,Caroline,,Fairgrounds,29.9809,-90.08487,Entire home/apt,177.0,2,1,2024-02-14,1.0,1,150,1,"20RSTR-12171, 20OSTR-12172"
1.100053086096564e+18,Roami at Canal Quarters | Studio,564122093,Roami,,Central Business District,29.95448081,-90.07316689,Entire home/apt,146.0,1,0,,,5,365,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1000532995869518e+18,Roami at Canal Quarters | Studio | Balcony,564122093,Roami,,Central Business District,29.95611441,-90.07149733,Entire home/apt,158.0,1,0,,,5,365,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1000534468089792e+18,Roami at Canal Quarters | Canal Street Terrace,564122093,Roami,,Central Business District,29.95589102,-90.07178758,Entire home/apt,179.0,1,1,2024-03-07,1.0,5,364,1,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1000535602053354e+18,Roami at Canal Quarters | Studio|Terrace,564122093,Roami,,Central Business District,29.95428298,-90.07187126,Entire home/apt,163.0,1,0,,,5,362,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.100053680828608e+18,Roami at Canal Quarters | Canal Street Balcony,564122093,Roami,,Central Business District,29.95402,-90.07262,Entire home/apt,182.0,1,0,,,5,365,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1001451458181873e+18,The Eleanor: 5 BD w/ 2 Balconies,544722946,My NOLA Vacation Rentals,,Central Business District,29.9537991,-90.074732,Entire home/apt,514.0,1,0,,,41,308,0,"Exempt: This listing is a licensed hotel, motel, or bed and breakfast"
1.1001789243806948e+18,Beautiful Uptown Apartment!,564166210,Shaun,,Black Pearl,29.93755,-90.12986,Entire home/apt,80.0,30,0,,,2,270,0,
1.1002047156036664e+18,Humble Uptown Aboad!,564166210,Shaun,,Black Pearl,29.93762205,-90.13170831,Entire home/apt,72.0,30,0,,,2,270,0,
1.1002671849059018e+18,New Marigny 1 Bedroom Loft,538296531,Taylor,,Marigny,29.96713951,-90.06102162,Entire home/apt,176.0,30,0,,,2,241,0,"22-RSTR-16232, 23-OSTR-14392"
1.100271764702462e+18,Cozy,415531887,Rochelle And Brian,,Tulane - Gravier,29.95991,-90.08735,Private room,64.0,2,0,,,13,11,0,"22RSTR-13884, 20OSTR-67439"
1.1002851884916623e+18,Minimalist Chic Spacious Home!,564194374,Busy Bee,,Lower Ninth Ward,29.96182531,-90.01063219,Entire home/apt,151.0,1,0,,,1,258,0,"22-RSTR-07261, 22-OSTR-06273"
1.1003228100656952e+18,Uptown Half Shotgun Double,29084353,Callie,,West Riverside,29.919958,-90.105752,Entire home/apt,108.0,30,0,,,1,180,0,
